price,year,manufacturer,model,condition,fuel,title_status,transmission,drive,type,paint_color
13900,2011,infiniti,ex,excellent,gas,clean,automatic,4wd,SUV,red
16990,2018,toyota,corolla im hatchback 4d,good,gas,clean,other,fwd,hatchback,blue
39590,2012,chevrolet,corvette grand sport,good,gas,clean,other,rwd,convertible,black
36500,2017,ford,f-150,excellent,gas,clean,automatic,4wd,truck,silver
14590,2014,toyota,prius c four hatchback 4d,good,other,clean,other,fwd,hatchback,red
12500,2013,honda,crv ex-l,excellent,gas,clean,automatic,fwd,SUV,brown
8500,2016,dodge,grand caravan sxt,excellent,gas,clean,automatic,fwd,mini-van,black
2000,2005,ford,five hundred,good,gas,clean,automatic,fwd,sedan,green
5495,2006,chevrolet,uplander,excellent,gas,clean,automatic,fwd,mini-van,blue
7495,2010,ford,taurus,good,gas,clean,automatic,fwd,sedan,black
36500,2018,ford,f-150 xlt,good,other,clean,other,rwd,pickup,white
30500,2018,jeep,grand cherokee,excellent,gas,lien,manual,4wd,SUV,blue
6000,2005,acura,mdx,like new,gas,clean,automatic,fwd,SUV,silver
5500,2010,chevrolet,equinox lt,good,gas,clean,automatic,4wd,SUV,grey
5500,2014,ford,focus,good,gas,clean,automatic,fwd,hatchback,silver
22995,2016,chevrolet,silverado 1500,like new,gas,clean,automatic,4wd,pickup,white
17990,2013,volkswagen,beetle tdi hatchback,good,other,clean,other,fwd,hatchback,black
18500,2019,nissan,rogue,like new,gas,clean,automatic,fwd,other,silver
3200,2009,volkswagen,gti,fair,gas,clean,manual,fwd,hatchback,black
3600,2007,jeep,liberty,excellent,gas,clean,manual,4wd,SUV,green
12500,2015,nissan,altima sv,excellent,gas,clean,automatic,fwd,sedan,black
6400,2005,lexus,es-339,good,gas,clean,automatic,fwd,sedan,black
5200,2008,chevrolet,trailblazer,good,gas,clean,automatic,4wd,SUV,silver
19990,2020,chevrolet,trax ls sport utility,good,gas,clean,other,fwd,hatchback,silver
15000,2014,lincoln,mkz,excellent,gas,clean,automatic,fwd,sedan,custom
37590,2015,rover,range sport hse,good,gas,clean,other,4wd,other,silver
38990,2018,ford,f150 supercrew cab xlt,good,gas,clean,automatic,4wd,pickup,red
3000,2005,nissan,titan xe crew cab,good,gas,clean,automatic,4wd,pickup,silver
3500,1998,chevrolet,ck 2500,fair,gas,clean,automatic,rwd,pickup,white
24999,2009,ram,1500 slt,like new,gas,clean,automatic,4wd,truck,white
25990,2011,ford,mustang gt premium,good,gas,clean,other,rwd,other,blue
26995,2017,gmc,savana cargo van,good,other,clean,automatic,rwd,van,white
33590,2012,toyota,fj cruiser sport utility,good,gas,clean,other,4wd,other,black
3800,1999,jeep,wrangler sport,good,gas,clean,automatic,4wd,offroad,white
29990,2016,ford,f150 super cab xl pickup 4d,good,gas,clean,other,4wd,pickup,red
7995,2015,dodge,grand caravan se,excellent,gas,clean,automatic,fwd,mini-van,red
25590,2017,ford,mustang v6 convertible 2d,good,gas,clean,other,rwd,convertible,red
2500,2008,bmw,550i,like new,gas,clean,automatic,rwd,sedan,black
5500,2004,toyota,4runner,good,gas,clean,automatic,4wd,SUV,black
9995,2013,ford,escape sel 4x4,excellent,gas,clean,automatic,4wd,SUV,red
10995,2007,ford,f-150,excellent,gas,clean,automatic,4wd,other,grey
13000,2011,volkswagen,gti,excellent,gas,clean,manual,fwd,hatchback,blue
25999,2017,subaru,wrx premium,excellent,gas,clean,manual,4wd,sedan,blue
9500,2010,mercedes-benz,benz glk 350,excellent,gas,clean,automatic,4wd,SUV,black
1400,2003,pontiac,grand am,fair,gas,clean,automatic,fwd,sedan,grey
4700,2007,buick,rendezvous,good,gas,clean,automatic,fwd,SUV,white
2500,2004,saturn,ion,good,gas,clean,automatic,fwd,sedan,red
13000,2015,toyota,tacoma,fair,gas,salvage,manual,rwd,truck,white
10000,2009,audi,a4 convertible,good,gas,clean,automatic,4wd,convertible,black
26500,2013,ford,f-150 xlt 4x4,excellent,gas,clean,automatic,4wd,pickup,green
8100,2009,toyota,camry,like new,gas,clean,automatic,rwd,sedan,red
16781,2011,ford,ranger xlt,like new,gas,clean,automatic,4wd,truck,silver
36590,2017,chevrolet,silverado 1500 double,good,gas,clean,other,4wd,pickup,red
6500,2008,ford,crown victoria police,good,gas,clean,automatic,rwd,sedan,blue
19590,2018,dodge,journey se sport utility,good,gas,clean,other,fwd,other,white
15900,2016,mazda,cx-5,good,gas,clean,automatic,fwd,wagon,grey
30000,2015,bmw,550i xdrive,good,gas,clean,automatic,4wd,sedan,black
5350,2012,ford,fusion se,good,gas,rebuilt,automatic,fwd,sedan,custom
29999,2015,jeep,wrangler sahara,excellent,gas,clean,manual,4wd,SUV,white
8450,2013,nissan,quest sv,excellent,gas,clean,automatic,fwd,mini-van,black
19500,2008,toyota,tundra crewmax,fair,gas,clean,automatic,4wd,truck,blue
32590,2020,infiniti,q50 3.0t sport sedan 4d,good,gas,clean,other,rwd,sedan,blue
22500,2004,chevrolet,corvette,excellent,gas,clean,manual,rwd,convertible,red
9995,2012,volkswagen,tiguan sel,excellent,gas,clean,automatic,4wd,SUV,black
26590,2018,lincoln,mkz premiere hybrid,good,gas,clean,other,fwd,sedan,white
3495,2009,pontiac,g5 coupe,good,gas,rebuilt,automatic,fwd,coupe,green
6900,2009,volkswagen,beetle convertible,excellent,gas,clean,automatic,fwd,convertible,silver
4200,2008,volkswagen,jetta,good,gas,clean,automatic,fwd,coupe,silver
3900,2008,dodge,grand caravan,good,gas,clean,automatic,rwd,mini-van,red
2800,2001,chevrolet,silverado,good,gas,clean,automatic,rwd,truck,red
12900,2013,jeep,grand cherokee laredo,excellent,gas,clean,automatic,4wd,SUV,black
30990,2011,mercedes-benz,sl-class sl 550,good,hybrid,clean,automatic,rwd,convertible,silver
